soluciones informáticas,8
sistemas software,2
proyectos informáticos,2
marco teórico,2
sílabo del curso,1
sílabo del curso de seminario,1
curso de seminario,1
seminario de tesis,1
tesis ii,1
datos generales,1
ingeniería semestre,1
semestre x,1
x área,1
software tipo,1
obligatorio carrera,1
software nro,1
alvaro fernández,1
carpio práctica,1
solución propuesta,1
forma coherente,1
forma lógica,1
formato establecido,1
temas expuestos,1
perfil de egreso,1
competencias generales,1
forma fiable,1
requisitos software,1
conocimiento de los riesgos,1
riesgos potenciales,1
competencias transversales,1
pertinencia especial,1
compromiso con la ética,1
comunicación en inglés,1
competencias específicas,1
enfoque sistémico,1
fundamentos matemáticos,1
principios algorítmicos,1
contextos multidisciplinarios,1
forma independiente,1
compromiso social,1
desempeño de las organizaciones,1
uso eficiente,1
objetivos estratégicos,1
conceptos éticos,1
toma de decisiones,1
servicios vinculados,1
cambios tecnológicos,1
competencias previas,1
levantamiento bibliográfico,1
estado del arte del área,1
arte del área,1
área de investigación,1
elaboración de la propuesta,1
recopilación de datos,1
datos cualitativos,1
presentación de resultados,1
documento de tesis,1
aspectos formales,1
consistencia interna,1
documento de investigación,1
semana contenidos,1
solución consistente,1
pautas metodológicas,1
proyecto de investigación,1
revisión del marco,1
diseño metodológico,1
metodologías predictivas,1
metodologías iterativas,1
especificación del diseño,1
estrategias de diseño,1
aspectos de implementación,1
metodología activa,1
puntos tratados,1
opinión sobre aspectos,1
aspectos metodológicos,1
clases magistrales,1
aprendizaje por proyectos,1
aprendizaje basado,1
investigación formativa,1
consulta documental,1
or article,1
mongiat farina,1
mit press,1
hernández sampieri,1
fernández collado,1
investigación eco,1
editorial gedisa,1
rainer ribing,1
trabajos académicos,1
doctoral dissertation,1
panamericana editorial,1
software engineering,1
educational research,1
